,algorithm,nbRules
0,mocsoarm,1
1,mopso,3
2,nsgaii,3
3,hmofaarm,1
4,mosaarm,1
5,mowsaarm,1
6,mocatsoarm,1
7,motlboarm,1
8,mofpaarm,1
9,moaloarm,1
10,modaarm,1
11,mohsbotsarm,1
12,modearm,2
13,nshsdearm,2
14,mogeaarm,1
15,mogsaarm,2
16,mossoarm,2
17,mowoaarm,1
18,mososarm,3
19,mocssarm,1
