,0,1
0,2.15,mogsaarm
1,2.08,modaarm
2,1.8,nsgaii
3,1.54,mosaarm
4,1.23,mocatsoarm
5,1.1,mososarm
6,0.98,mowoaarm
7,0.93,modearm
8,0.92,mocsoarm
9,0.9,hmofaarm
10,0.85,moaloarm
11,0.78,mowsaarm
12,0.76,mogeaarm
13,0.68,mohsbotsarm
14,0.61,nshsdearm
15,0.56,mocssarm
16,0.46,mossoarm
17,0.32,motlboarm
18,0.3,mopso
19,0.22,mofpaarm
