,score,algorithm
0,17.18,mossoarm
1,13.13,motlboarm
2,12.28,mocssarm
3,11.27,nsgaii
4,9.62,nshsdearm
5,7.6,modaarm
6,7.58,mohsbotsarm
7,7.56,mogsaarm
8,5.47,mopso
9,4.95,mowsaarm
10,4.95,mowoaarm
11,4.92,mosaarm
12,4.92,modearm
13,4.8,mofpaarm
14,4.8,mogeaarm
15,4.73,moaloarm
16,4.36,mocsoarm
17,2.91,hmofaarm
18,2.91,mocatsoarm
19,2.8,mososarm
