,score,algorithm
0,29.0,mocatsoarm
1,29.0,modaarm
2,29.0,mogeaarm
3,26.0,mocsoarm
4,26.0,mosaarm
5,26.0,mowoaarm
6,25.0,mossoarm
7,24.0,hmofaarm
8,19.0,moaloarm
9,18.0,mofpaarm
10,12.0,mososarm
11,7.5,mowsaarm
12,7.0,nshsdearm
13,6.0,mocssarm
14,4.5,mogsaarm
15,3.67,mopso
16,1.33,motlboarm
17,1.0,mohsbotsarm
18,0.5,modearm
19,0.0,nsgaii
