,score,algorithm
0,37.0,modaarm
1,36.0,mowoaarm
2,35.0,mossoarm
3,34.0,mocatsoarm
4,30.0,moaloarm
5,26.0,mocsoarm
6,17.0,nshsdearm
7,15.0,hmofaarm
8,14.0,mowsaarm
9,13.0,mogsaarm
10,12.0,mosaarm
11,8.5,mososarm
12,8.33,mofpaarm
13,4.5,mogeaarm
14,4.5,mocssarm
15,4.33,motlboarm
16,2.5,mopso
17,1.0,nsgaii
18,1.0,mohsbotsarm
19,0.0,modearm
