,algorithm,support,confidence,cosine
0,mocsoarm,0.005154639175257732,1.0,1.0
1,mocsoarm,0.20103092783505155,1.0,0.6546536707079772
2,mocsoarm,0.26288659793814434,0.8793103448275863,0.5047773338213711
3,mocsoarm,0.8041237113402062,0.8524590163934427,0.8977534471462035
4,mopso,0.8608247422680413,1.0,0.927806414220144
5,nsgaii,0.005154639175257732,1.0,0.28867513459481287
6,nsgaii,0.23711340206185566,0.40350877192982454,0.4974790248010051
7,nsgaii,0.23711340206185566,0.9583333333333333,0.4908080397427679
8,hmofaarm,0.9432989690721649,1.0,0.9712357947852648
9,mosaarm,0.3865979381443299,1.0,0.6217700042172587
10,mowsaarm,0.9072164948453608,1.0,0.9524791309238018
11,mocatsoarm,0.9175257731958762,1.0,0.957875656437659
12,motlboarm,0.010309278350515464,1.0,0.17025130615174972
13,motlboarm,0.020618556701030927,1.0,0.1586103171436288
14,motlboarm,0.7731958762886598,0.8982035928143712,0.8749368124007963
15,mofpaarm,0.865979381443299,1.0,0.9305801316615884
16,moaloarm,0.005154639175257732,1.0,0.22941573387056177
17,moaloarm,0.030927835051546393,1.0,0.17586311452816475
18,moaloarm,0.06701030927835051,0.7647058823529412,0.49852724275079086
19,moaloarm,0.17010309278350516,0.4782608695652174,0.3992747047523453
20,modaarm,0.9432989690721649,1.0,0.9712357947852648
21,mohsbotsarm,0.2422680412371134,1.0,0.4922073153023159
22,mohsbotsarm,0.8247422680412371,0.9580838323353292,0.9054009457618089
23,modearm,0.788659793814433,1.0,0.8880651968264678
24,nshsdearm,0.061855670103092786,1.0,0.25607375986579195
25,nshsdearm,0.4072164948453608,0.8681318681318682,0.640837857165253
26,mogeaarm,0.6752577319587629,1.0,0.8217406719633408
27,mogsaarm,0.005154639175257732,1.0,1.0
28,mogsaarm,0.1958762886597938,0.8837209302325582,0.48630103808206976
29,mogsaarm,0.22164948453608246,1.0,0.4707966488156882
30,mogsaarm,0.6907216494845361,0.8758169934640523,0.835803993897717
31,mossoarm,0.9432989690721649,1.0,0.9712357947852648
32,mowoaarm,0.9432989690721649,1.0,0.9712357947852648
33,mososarm,0.36597938144329895,1.0,0.604962297538697
34,mososarm,0.5,0.941747572815534,0.7065250704739598
35,mocssarm,0.5103092783505154,1.0,0.7143593481928514
