,score,algorithm
0,35.0,mofpaarm
1,35.0,modaarm
2,35.0,mogeaarm
3,35.0,mowoaarm
4,32.0,mocsoarm
5,32.0,moaloarm
6,32.0,mossoarm
7,30.0,hmofaarm
8,30.0,modearm
9,27.0,mososarm
10,17.0,mosaarm
11,14.5,mocatsoarm
12,5.5,motlboarm
13,4.67,mopso
14,4.5,mogsaarm
15,4.0,mowsaarm
16,3.5,mohsbotsarm
17,3.33,nsgaii
18,0.67,mocssarm
19,0.25,nshsdearm
