,score,algorithm
0,34.0,mopso
1,34.0,mocatsoarm
2,34.0,mofpaarm
3,34.0,modaarm
4,34.0,mogeaarm
5,34.0,mowoaarm
6,30.0,mocsoarm
7,30.0,moaloarm
8,30.0,mossoarm
9,30.0,mososarm
10,28.0,hmofaarm
11,28.0,modearm
12,17.0,mosaarm
13,11.5,mowsaarm
14,6.0,motlboarm
15,4.5,mohsbotsarm
16,4.5,mogsaarm
17,3.0,nsgaii
18,1.75,nshsdearm
19,0.2,mocssarm
