,algorithm,nbRules
0,mocsoarm,2
1,mopso,1
2,nsgaii,3
3,hmofaarm,1
4,mosaarm,4
5,mowsaarm,1
6,mocatsoarm,3
7,motlboarm,3
8,mofpaarm,2
9,moaloarm,1
10,modaarm,4
11,mohsbotsarm,6
12,modearm,1
13,nshsdearm,1
14,mogeaarm,1
15,mogsaarm,3
16,mossoarm,3
17,mowoaarm,1
18,mososarm,1
19,mocssarm,1
