,algorithm,support,confidence,cosine
0,mocsoarm,0.026490066225165563,1.0,0.1627576917542319
1,mopso,0.046357615894039736,1.0,0.21530818817230277
2,nsgaii,0.013245033112582781,0.14285714285714285,0.3086066999241838
3,nsgaii,0.039735099337748346,1.0,0.19933664825552863
4,hmofaarm,0.3443708609271523,1.0,0.5868312030960455
5,mosaarm,0.3443708609271523,1.0,0.5868312030960455
6,mowsaarm,0.046357615894039736,0.06481481481481481,0.22452510468485445
7,mocatsoarm,0.013245033112582781,0.25,0.15430334996209194
8,mocatsoarm,0.039735099337748346,0.039735099337748346,0.039735099337748346
9,motlboarm,0.013245033112582781,1.0,0.1150870675296872
10,mofpaarm,0.23178807947019867,1.0,0.48144374486558517
11,moaloarm,0.8079470198675497,1.0,0.8988587318747867
12,modaarm,0.847682119205298,1.0,0.9206965402374976
13,mohsbotsarm,0.006622516556291391,0.19999999999999998,0.09534625892455924
14,modearm,0.046357615894039736,0.2,0.17258978545253828
15,nshsdearm,0.07947019867549669,1.0,0.28190459144096375
16,mogeaarm,0.32450331125827814,1.0,0.5696519211398117
17,mogsaarm,0.0,0.0,0.0
18,mossoarm,0.09271523178807947,1.0,0.30449175980324894
19,mowoaarm,0.847682119205298,1.0,0.9206965402374976
20,mososarm,0.006622516556291391,0.020408163265306124,0.011625549411016565
21,mocssarm,0.006622516556291391,0.19999999999999998,0.09128709291752768
22,mocssarm,0.006622516556291391,1.0,0.08137884587711595
