,algorithm,support,confidence,jaccard
0,mowoaarm,0.6183908045977011,1.0,0.6183908045977011
1,mossoarm,0.167816091954023,0.38829787234042556,0.3106382978723405
2,mossoarm,0.3103448275862069,1.0,0.3103448275862069
