,score,algorithm
0,23.0,hmofaarm
1,23.0,mocatsoarm
2,23.0,moaloarm
3,23.0,modaarm
4,21.0,mossoarm
5,21.0,mowoaarm
6,20.0,mogeaarm
7,19.0,mocsoarm
8,16.0,modearm
9,15.0,mopso
10,9.0,motlboarm
11,5.25,mofpaarm
12,5.0,mosaarm
13,2.5,mocssarm
14,1.0,mohsbotsarm
15,1.0,mogsaarm
16,1.0,mososarm
17,0.5,nsgaii
18,0.0,mowsaarm
19,0.0,nshsdearm
