,algorithm,support,confidence,cosine
0,mocsoarm,0.005154639175257732,1.0,1.0
1,mocsoarm,0.5670103092783505,1.0,0.7530008693742329
2,mocsoarm,0.7474226804123711,0.7923497267759563,0.8609473790915472
3,mopso,0.020618556701030927,1.0,1.0
4,mopso,0.9175257731958762,1.0,0.957875656437659
5,nsgaii,0.005154639175257732,1.0,1.0
6,nsgaii,0.35051546391752575,0.9577464788732394,0.6226229108117848
7,nsgaii,0.36597938144329895,1.0,0.604962297538697
8,nsgaii,0.4639175257731959,0.9473684210526316,0.6825825192602394
9,nsgaii,0.8144329896907216,0.9404761904761905,0.901108115925054
10,nsgaii,0.8298969072164949,0.8609625668449198,0.916564644224628
11,hmofaarm,0.9639175257731959,1.0,0.9817930157488368
12,mosaarm,0.005154639175257732,1.0,1.0
13,mosaarm,0.9432989690721649,1.0,0.9712357947852648
14,mowsaarm,0.005154639175257732,1.0,1.0
15,mowsaarm,0.8608247422680413,1.0,0.927806414220144
16,mowsaarm,0.8917525773195877,0.9453551912568307,0.9453551912568307
17,mocatsoarm,0.005154639175257732,1.0,1.0
18,mocatsoarm,0.5876288659793815,1.0,0.7665695441245899
19,mocatsoarm,0.8092783505154639,0.9401197604790419,0.8980817517134552
20,mocatsoarm,0.845360824742268,0.9213483146067416,0.9265684601464158
21,motlboarm,0.005154639175257732,1.0,1.0
22,motlboarm,0.9639175257731959,1.0,0.9817930157488368
23,mofpaarm,0.9175257731958762,1.0,0.957875656437659
24,moaloarm,0.9639175257731959,1.0,0.9817930157488368
25,modaarm,0.005154639175257732,1.0,1.0
26,modaarm,0.8505154639175257,1.0,0.9222339529194995
27,modaarm,0.8865979381443299,0.9662921348314607,0.9427523908960226
28,mohsbotsarm,0.020618556701030927,1.0,1.0
29,mohsbotsarm,0.9639175257731959,1.0,0.9817930157488368
30,modearm,0.9639175257731959,1.0,0.9817930157488368
31,nshsdearm,0.005154639175257732,1.0,1.0
32,nshsdearm,0.5670103092783505,1.0,0.7530008693742329
33,nshsdearm,0.8505154639175257,0.9375,0.9193948473022359
34,mogeaarm,0.005154639175257732,1.0,1.0
35,mogeaarm,0.9432989690721649,1.0,0.9712357947852648
36,mogsaarm,0.005154639175257732,1.0,1.0
37,mogsaarm,0.788659793814433,1.0,0.8880651968264678
38,mogsaarm,0.8505154639175257,0.9880239520958083,0.962430493640876
39,mossoarm,0.005154639175257732,1.0,1.0
40,mossoarm,0.8505154639175257,0.9375,0.962430493640876
41,mossoarm,0.9175257731958762,1.0,0.957875656437659
42,mowoaarm,0.005154639175257732,1.0,1.0
43,mowoaarm,0.9432989690721649,1.0,0.9712357947852648
44,mososarm,0.7525773195876289,1.0,0.8675121437695433
45,mososarm,0.8505154639175257,0.9016393442622951,0.9193948473022359
46,mocssarm,0.005154639175257732,1.0,1.0
47,mocssarm,0.9072164948453608,1.0,0.9524791309238018
