,algorithm,support,confidence,cosine
0,mocsoarm,0.005154639175257732,1.0,1.0
1,mocsoarm,0.7525773195876289,1.0,0.8675121437695433
2,mocsoarm,0.8917525773195877,0.9453551912568307,0.9453551912568307
3,mopso,0.8608247422680413,1.0,0.927806414220144
4,nsgaii,0.005154639175257732,1.0,1.0
5,nsgaii,0.04639175257731959,1.0,0.23145502494313785
6,nsgaii,0.1958762886597938,0.9743589743589743,0.44980652201134214
7,nsgaii,0.8917525773195877,0.9453551912568307,0.9453551912568307
8,hmofaarm,0.2268041237113402,1.0,0.4762395654619009
9,hmofaarm,0.654639175257732,0.8300653594771242,0.7993114485855738
10,mosaarm,0.865979381443299,1.0,0.9305801316615884
11,mowsaarm,0.865979381443299,1.0,0.9305801316615884
12,mocatsoarm,0.005154639175257732,1.0,1.0
13,mocatsoarm,0.02577319587628866,1.0,0.18569533817705186
14,mocatsoarm,0.2268041237113402,0.9361702127659575,0.5089852363559432
15,mocatsoarm,0.30927835051546393,0.8695652173913043,0.5589442199172577
16,mocatsoarm,0.8350515463917526,0.8663101604278075,0.9139860566994992
17,motlboarm,0.005154639175257732,1.0,1.0
18,motlboarm,0.7989690721649485,1.0,0.8938506990347709
19,mofpaarm,0.7474226804123711,1.0,0.8645361070611055
20,moaloarm,0.5309278350515464,1.0,0.7286479500084705
21,moaloarm,0.8092783505154639,0.8579234972677596,0.8980817517134552
22,modaarm,0.005154639175257732,1.0,1.0
23,modaarm,0.4690721649484536,1.0,0.6848884324825859
24,modaarm,0.6288659793814433,0.8591549295774649,0.7898798183465977
25,mohsbotsarm,0.005154639175257732,1.0,1.0
26,mohsbotsarm,0.9432989690721649,1.0,0.9712357947852648
27,modearm,0.5309278350515464,1.0,0.7286479500084705
28,nshsdearm,0.865979381443299,1.0,0.9305801316615884
29,mogeaarm,0.005154639175257732,1.0,0.5773502691896257
30,mogeaarm,0.23711340206185566,1.0,0.5013642590159167
31,mogeaarm,0.2422680412371134,0.9791666666666666,0.524951285640305
32,mogsaarm,0.005154639175257732,1.0,0.7071067811865476
33,mogsaarm,0.12886597938144329,1.0,0.3589790793088691
34,mogsaarm,0.845360824742268,0.9318181818181818,0.9265684601464158
35,mogsaarm,0.8556701030927835,0.907103825136612,0.9249669372858857
36,mossoarm,0.005154639175257732,1.0,0.447213595499958
37,mossoarm,0.020618556701030927,1.0,0.14359163172354764
38,mossoarm,0.1958762886597938,0.9743589743589743,0.44980652201134214
39,mossoarm,0.865979381443299,0.9180327868852459,0.9308372098372173
40,mowoaarm,0.9072164948453608,1.0,0.9524791309238018
41,mososarm,0.005154639175257732,1.0,1.0
42,mososarm,0.20618556701030927,1.0,0.4767312946227962
43,mososarm,0.21649484536082475,1.0,0.4652900658307942
44,mososarm,0.3917525773195876,0.5241379310344827,0.6475417707203035
45,mocssarm,0.21649484536082475,1.0,0.501494771645751
46,mocssarm,0.9072164948453608,0.9617486338797815,0.9514069501680286
