,score,algorithm
0,11.38,motlboarm
1,10.84,modaarm
2,10.3,mocssarm
3,9.69,mowsaarm
4,8.28,mossoarm
5,7.29,mogsaarm
6,7.19,mososarm
7,7.17,mocsoarm
8,6.45,nshsdearm
9,4.95,mosaarm
10,4.95,mohsbotsarm
11,4.94,mowoaarm
12,4.91,modearm
13,4.83,mogeaarm
14,4.8,nsgaii
15,4.49,mocatsoarm
16,3.3,moaloarm
17,2.95,mofpaarm
18,2.88,mopso
19,2.86,hmofaarm
