,score,algorithm
0,17.29,mowsaarm
1,12.67,mossoarm
2,10.7,modearm
3,10.41,mocssarm
4,9.98,mopso
5,9.21,modaarm
6,8.69,mocsoarm
7,7.99,nshsdearm
8,7.23,mowoaarm
9,6.87,moaloarm
10,6.6,nsgaii
11,4.94,mosaarm
12,4.92,mohsbotsarm
13,4.79,mogsaarm
14,2.95,mososarm
15,2.88,mocatsoarm
16,2.88,mofpaarm
17,2.86,mogeaarm
18,2.8,hmofaarm
19,2.68,motlboarm
