,score,algorithm
0,32.0,motlboarm
1,32.0,modaarm
2,32.0,mowoaarm
3,32.0,mososarm
4,28.0,mocsoarm
5,28.0,mocatsoarm
6,28.0,moaloarm
7,28.0,mogeaarm
8,27.0,hmofaarm
9,26.0,mopso
10,24.0,mofpaarm
11,20.0,mossoarm
12,12.0,mosaarm
13,10.0,modearm
14,8.0,nsgaii
15,8.0,mowsaarm
16,3.33,nshsdearm
17,2.2,mohsbotsarm
18,1.33,mogsaarm
19,0.17,mocssarm
