,score,algorithm
0,26.0,mosaarm
1,26.0,mocatsoarm
2,26.0,motlboarm
3,26.0,modaarm
4,26.0,mossoarm
5,26.0,mowoaarm
6,26.0,mososarm
7,22.0,mocsoarm
8,22.0,mofpaarm
9,22.0,moaloarm
10,22.0,mogeaarm
11,21.0,hmofaarm
12,20.0,mopso
13,9.5,modearm
14,6.0,nsgaii
15,4.0,mocssarm
16,3.33,mowsaarm
17,1.67,nshsdearm
18,0.8,mohsbotsarm
19,0.0,mogsaarm
