,score,algorithm
0,31.0,modaarm
1,31.0,mowoaarm
2,26.0,mocsoarm
3,26.0,mocatsoarm
4,26.0,motlboarm
5,26.0,moaloarm
6,26.0,mogeaarm
7,25.0,hmofaarm
8,23.0,mopso
9,22.0,mofpaarm
10,16.0,mososarm
11,15.0,mossoarm
12,11.0,mosaarm
13,11.0,modearm
14,8.0,nsgaii
15,7.0,mowsaarm
16,2.67,mogsaarm
17,2.5,mohsbotsarm
18,0.33,nshsdearm
19,0.0,mocssarm
