,score,algorithm
0,14.72,mososarm
1,12.53,mohsbotsarm
2,11.07,mossoarm
3,10.67,mocsoarm
4,8.68,mogeaarm
5,8.62,nsgaii
6,8.03,modearm
7,7.84,mowoaarm
8,7.65,mocssarm
9,7.34,nshsdearm
10,6.64,mocatsoarm
11,5.36,mogsaarm
12,4.96,mowsaarm
13,4.92,mofpaarm
14,4.92,modaarm
15,2.95,hmofaarm
16,2.91,mosaarm
17,2.88,mopso
18,2.77,motlboarm
19,1.65,moaloarm
