,algorithm,support,confidence,cosine
0,mocsoarm,0.005154639175257732,1.0,1.0
1,mocsoarm,0.13402061855670103,0.9629629629629629,0.693888666488711
2,mocsoarm,0.20103092783505155,1.0,0.4483647263501574
3,mocsoarm,0.6082474226804123,0.7421383647798742,0.7771403239198454
4,mopso,0.8505154639175257,1.0,0.9222339529194995
5,nsgaii,0.005154639175257732,1.0,1.0
6,nsgaii,0.211340206185567,1.0,0.4597175286907897
7,nsgaii,0.4793814432989691,0.9789473684210527,0.7192250614343297
8,nsgaii,0.865979381443299,0.9438202247191012,0.9308372098372173
9,hmofaarm,0.005154639175257732,1.0,1.0
10,hmofaarm,0.9639175257731959,1.0,0.9817930157488368
11,mosaarm,0.005154639175257732,1.0,1.0
12,mosaarm,0.8505154639175257,1.0,0.9222339529194995
13,mowsaarm,0.005154639175257732,1.0,1.0
14,mowsaarm,0.211340206185567,0.9761904761904762,0.5309028287247624
15,mowsaarm,0.23711340206185566,1.0,0.48694291458224925
16,mowsaarm,0.25257731958762886,0.9800000000000001,0.5193989612031165
17,mowsaarm,0.4536082474226804,0.888888888888889,0.6629107682348341
18,mowsaarm,0.8144329896907216,0.8876404494382023,0.9136764790669694
19,mowsaarm,0.8247422680412371,0.8556149732620321,0.9054009457618089
20,mocatsoarm,0.5103092783505154,1.0,0.7143593481928514
21,mocatsoarm,0.7216494845360825,0.9150326797385621,0.8483446378173648
22,mocatsoarm,0.7525773195876289,0.869047619047619,0.876912463690344
23,motlboarm,0.865979381443299,1.0,0.9305801316615884
24,mofpaarm,0.9639175257731959,1.0,0.9817930157488368
25,moaloarm,0.08247422680412371,1.0,0.28718326344709527
26,moaloarm,0.2268041237113402,0.4,0.5416025603090641
27,moaloarm,0.26288659793814434,0.85,0.5125692857821982
28,moaloarm,0.27835051546391754,0.49090909090909096,0.5174636171184621
29,modaarm,0.28865979381443296,1.0,0.6049901419820201
30,modaarm,0.7525773195876289,0.9182389937106918,0.8678492499760835
31,modaarm,0.865979381443299,0.9180327868852459,0.9308372098372173
32,mohsbotsarm,0.005154639175257732,1.0,1.0
33,mohsbotsarm,0.9175257731958762,1.0,0.957875656437659
34,modearm,0.865979381443299,1.0,0.9305801316615884
35,nshsdearm,0.005154639175257732,1.0,1.0
36,nshsdearm,0.28865979381443296,1.0,0.5640760748177662
37,nshsdearm,0.29896907216494845,1.0,0.5467806435536543
38,nshsdearm,0.3556701030927835,0.92,0.6399596761490323
39,nshsdearm,0.4175257731958763,0.8901098901098902,0.655103141183659
40,nshsdearm,0.6855670103092784,0.7964071856287425,0.8161967163635607
41,mogeaarm,0.005154639175257732,1.0,1.0
42,mogeaarm,0.865979381443299,1.0,0.9305801316615884
43,mogsaarm,0.005154639175257732,1.0,1.0
44,mogsaarm,0.8092783505154639,0.9401197604790419,0.9373176089093204
45,mogsaarm,0.865979381443299,1.0,0.9305801316615884
46,mossoarm,0.005154639175257732,1.0,1.0
47,mossoarm,0.25773195876288657,1.0,0.5471756551645828
48,mossoarm,0.6649484536082474,0.8896551724137931,0.8265156252713761
49,mowoaarm,0.005154639175257732,1.0,1.0
50,mowoaarm,0.9432989690721649,1.0,0.9712357947852648
51,mososarm,0.005154639175257732,1.0,1.0
52,mososarm,0.4175257731958763,1.0,0.6461623427559643
53,mososarm,0.520618556701031,0.9805825242718448,0.7459208732603513
54,mososarm,0.7783505154639175,0.949685534591195,0.8852233077019299
55,mososarm,0.8092783505154639,0.8579234972677596,0.8980817517134552
56,mocssarm,0.9432989690721649,1.0,0.9712357947852648
