,0,1
0,2.0,mopso
1,1.33,nsgaii
2,0.95,mofpaarm
3,0.95,modaarm
4,0.91,mowoaarm
5,0.86,moaloarm
6,0.76,motlboarm
7,0.64,modearm
8,0.59,nshsdearm
9,0.41,mowsaarm
10,0.36,hmofaarm
11,0.36,mosaarm
12,0.36,mocssarm
13,0.27,mocsoarm
14,0.27,mogeaarm
15,0.23,mososarm
16,0.0,mocatsoarm
17,0.0,mohsbotsarm
18,0.0,mogsaarm
19,0.0,mossoarm
