,0,1
0,1.18,mosaarm
1,1.09,mocatsoarm
2,0.91,hmofaarm
3,0.91,modaarm
4,0.91,mowoaarm
5,0.87,moaloarm
6,0.82,mocssarm
7,0.78,mocsoarm
8,0.7,mowsaarm
9,0.7,modearm
10,0.55,nshsdearm
11,0.48,mopso
12,0.48,mogeaarm
13,0.3,nsgaii
14,0.22,motlboarm
15,0.22,mohsbotsarm
16,0.22,mossoarm
17,0.0,mofpaarm
18,0.0,mogsaarm
19,0.0,mososarm
