,0,1
0,0.95,moaloarm
1,0.95,modaarm
2,0.86,mocatsoarm
3,0.86,mowoaarm
4,0.81,mopso
5,0.71,mocsoarm
6,0.71,mofpaarm
7,0.67,mosaarm
8,0.62,hmofaarm
9,0.6,mowsaarm
10,0.6,mocssarm
11,0.57,modearm
12,0.52,mossoarm
13,0.48,mogeaarm
14,0.29,motlboarm
15,0.29,mososarm
16,0.14,nsgaii
17,0.0,mohsbotsarm
18,0.0,nshsdearm
19,0.0,mogsaarm
