,0,1
0,1.73,mogeaarm
1,0.96,moaloarm
2,0.96,modaarm
3,0.87,mocatsoarm
4,0.87,mowoaarm
5,0.83,mopso
6,0.78,mossoarm
7,0.74,hmofaarm
8,0.73,nshsdearm
9,0.65,modearm
10,0.61,mocsoarm
11,0.48,nsgaii
12,0.48,mofpaarm
13,0.45,mosaarm
14,0.39,motlboarm
15,0.39,mososarm
16,0.18,mocssarm
17,0.13,mowsaarm
18,0.09,mohsbotsarm
19,0.0,mogsaarm
