,score,algorithm
0,23.0,mopso
1,23.0,mocatsoarm
2,23.0,mofpaarm
3,23.0,moaloarm
4,23.0,modaarm
5,23.0,mogeaarm
6,23.0,mossoarm
7,23.0,mowoaarm
8,22.0,mocsoarm
9,21.0,mososarm
10,20.0,hmofaarm
11,11.0,nsgaii
12,7.0,modearm
13,6.5,mosaarm
14,2.5,nshsdearm
15,2.0,mowsaarm
16,2.0,mohsbotsarm
17,1.6,mocssarm
18,1.0,motlboarm
19,1.0,mogsaarm
