,algorithm,support,confidence,cosine
0,mocsoarm,0.4096504185130478,1.0,0.6400393882512605
1,mocsoarm,0.41063515509601184,0.9455782312925171,0.6231273254016512
2,mocsoarm,0.49433776464795665,0.5068147400302877,0.5005373769032715
3,mopso,0.9741506646971935,1.0,0.9869907115556831
4,nsgaii,0.011816838995568686,1.0,0.1087052850397288
5,nsgaii,0.21270310192023634,0.5326757090012331,0.3366032911635349
6,hmofaarm,0.9753815854258986,1.0,0.9876140872961962
7,mosaarm,0.005908419497784343,1.0,0.0768662442024088
8,mosaarm,0.053175775480059084,0.9642857142857143,0.22644346014289207
9,mosaarm,0.08862629246676514,0.41666666666666663,0.19216561050602196
10,mowsaarm,0.005908419497784343,1.0,0.0768662442024088
11,mowsaarm,0.023633677991137372,0.6666666666666666,0.12552205116004486
12,mowsaarm,0.03988183161004431,0.3932038834951456,0.12679705623362783
13,mowsaarm,0.12013786312161497,0.12317011610297829,0.33612960895951033
14,mowsaarm,0.1240768094534712,0.13461538461538464,0.12923872262765837
15,mocatsoarm,0.9217134416543574,1.0,0.9600590823768906
16,motlboarm,0.015755785327424915,0.4705882352941177,0.0861074167125332
17,motlboarm,0.023633677991137372,0.05687203791469195,0.2384785900551493
18,motlboarm,0.053175775480059084,0.21951219512195122,0.1639482976448584
19,mofpaarm,0.0014771048744460858,0.05,0.223606797749979
20,mofpaarm,0.005908419497784343,0.25,0.21650635094610965
21,mofpaarm,0.005908419497784343,1.0,0.09861274389093197
22,mofpaarm,0.011816838995568686,0.16666666666666666,0.08333333333333333
23,mofpaarm,0.012801575578532743,0.13471502590673576,0.13334034681676007
24,mofpaarm,0.046282619399310686,0.08422939068100359,0.17383815764523575
25,moaloarm,0.3879862136878385,1.0,0.6228853937024359
26,modaarm,0.0022156573116691287,0.5,0.7071067811865476
27,modaarm,0.49729197439684886,1.0,0.7051893181244656
28,mohsbotsarm,0.10635155096011817,1.0,0.3261158551191864
29,modearm,0.0014771048744460858,0.3333333333333333,0.30151134457776363
30,modearm,0.04234367306745446,1.0,0.20577578348157116
31,modearm,0.04431314623338257,0.34285714285714286,0.2273477654626845
32,modearm,0.04529788281634663,0.4423076923076923,0.2110002947624324
33,nshsdearm,0.06400787789266371,0.5555555555555556,0.34636753428645434
34,mogeaarm,0.464795667159035,1.0,0.6817592442783852
35,mogsaarm,0.0014771048744460858,0.5,0.08492077756084468
36,mogsaarm,0.0014771048744460858,1.0,0.050273053910145554
37,mogsaarm,0.003938946331856229,0.5,0.04493531162901138
38,mogsaarm,0.007877892663712457,0.11678832116788322,0.08477602025532502
39,mogsaarm,0.026587887740029542,0.026587887740029542,0.09414153837003364
40,mossoarm,0.6075824716888233,1.0,0.7794757672236021
41,mowoaarm,0.48842934515017233,1.0,0.6988772031982246
42,mososarm,0.007877892663712457,0.23880597014925373,0.345547370232544
43,mososarm,0.011816838995568686,0.4285714285714286,0.07116431387661541
44,mososarm,0.013293943870014771,0.030066815144766144,0.041648816917885974
45,mocssarm,0.07090103397341212,1.0,0.34022878627424563
