,algorithm,support,confidence,jaccard
0,mowoaarm,0.6183908045977011,1.0,0.6183908045977011
1,mossoarm,0.26436781609195403,0.7931034482758621,0.577889447236181
2,mossoarm,0.46206896551724136,1.0,0.46206896551724136
