,score,algorithm
0,11.7,mohsbotsarm
1,7.45,mosaarm
2,5.5,mososarm
3,5.36,nsgaii
4,5.25,modearm
5,5.16,mocatsoarm
6,5.05,mowsaarm
7,4.36,mofpaarm
8,4.06,mopso
9,3.99,mocsoarm
10,3.84,mogsaarm
11,3.77,mocssarm
12,3.54,moaloarm
13,3.53,mogeaarm
14,3.03,nshsdearm
15,2.91,mowoaarm
16,2.8,modaarm
17,2.74,mossoarm
18,2.65,hmofaarm
19,2.47,motlboarm
