,algorithm,nbRules
0,mocsoarm,4
1,mopso,3
2,nsgaii,2
3,hmofaarm,1
4,mosaarm,2
5,mowsaarm,4
6,mocatsoarm,7
7,motlboarm,6
8,mofpaarm,2
9,moaloarm,3
10,modaarm,2
11,mohsbotsarm,3
12,modearm,3
13,nshsdearm,6
14,mogeaarm,2
15,mogsaarm,3
16,mossoarm,2
17,mowoaarm,2
18,mososarm,1
19,mocssarm,3
