,algorithm,nbRules
0,mocsoarm,1
1,mopso,2
2,nsgaii,4
3,hmofaarm,1
4,mosaarm,2
5,mowsaarm,5
6,mocatsoarm,2
7,motlboarm,1
8,mofpaarm,1
9,moaloarm,3
10,modaarm,2
11,mohsbotsarm,2
12,modearm,2
13,nshsdearm,1
14,mogeaarm,4
15,mogsaarm,2
16,mossoarm,8
17,mowoaarm,1
18,mososarm,3
19,mocssarm,2
