,algorithm,nbRules
0,mocsoarm,4
1,mopso,3
2,nsgaii,5
3,hmofaarm,1
4,mosaarm,2
5,mowsaarm,3
6,mocatsoarm,1
7,motlboarm,1
8,mofpaarm,3
9,moaloarm,6
10,modaarm,2
11,mohsbotsarm,4
12,modearm,2
13,nshsdearm,4
14,mogeaarm,2
15,mogsaarm,4
16,mossoarm,3
17,mowoaarm,1
18,mososarm,4
19,mocssarm,3
