,algorithm,nbRules
0,mocsoarm,1
1,mopso,1
2,nsgaii,3
3,hmofaarm,1
4,mosaarm,3
5,mowsaarm,4
6,mocatsoarm,1
7,motlboarm,2
8,mofpaarm,1
9,moaloarm,1
10,modaarm,1
11,mohsbotsarm,4
12,modearm,1
13,nshsdearm,4
14,mogeaarm,1
15,mogsaarm,4
16,mossoarm,1
17,mowoaarm,1
18,mososarm,1
19,mocssarm,5
