,score,algorithm
0,12.51,mopso
1,11.2,modaarm
2,10.18,mowsaarm
3,8.34,mossoarm
4,8.25,mocssarm
5,8.19,mocsoarm
6,7.67,mohsbotsarm
7,5.25,mowoaarm
8,4.97,nshsdearm
9,4.95,hmofaarm
10,4.95,mofpaarm
11,4.92,nsgaii
12,4.92,motlboarm
13,4.88,mosaarm
14,4.88,mogeaarm
15,4.86,mogsaarm
16,2.91,modearm
17,2.86,mososarm
18,2.79,mocatsoarm
19,2.68,moaloarm
