,algorithm,nbRules
0,mocsoarm,1
1,mopso,5
2,nsgaii,2
3,hmofaarm,1
4,mosaarm,4
5,mowsaarm,4
6,mocatsoarm,5
7,motlboarm,2
8,mofpaarm,3
9,moaloarm,1
10,modaarm,1
11,mohsbotsarm,4
12,modearm,2
13,nshsdearm,4
14,mogeaarm,2
15,mogsaarm,4
16,mossoarm,1
17,mowoaarm,1
18,mososarm,1
19,mocssarm,3
