,algorithm,nbRules
0,mocsoarm,1
1,mopso,3
2,nsgaii,2
3,hmofaarm,1
4,mosaarm,4
5,mowsaarm,3
6,mocatsoarm,4
7,motlboarm,3
8,mofpaarm,4
9,moaloarm,1
10,modaarm,1
11,mohsbotsarm,1
12,modearm,2
13,nshsdearm,4
14,mogeaarm,2
15,mogsaarm,5
16,mossoarm,1
17,mowoaarm,1
18,mososarm,3
19,mocssarm,1
