,algorithm,support,confidence,cosine
0,mocsoarm,0.005154639175257732,1.0,1.0
1,mocsoarm,0.4484536082474227,0.8787878787878789,0.723644436333627
2,mocsoarm,0.4896907216494845,1.0,0.6997790520224827
3,mocsoarm,0.7835051546391752,0.8539325842696629,0.8816076523876342
4,mopso,0.005154639175257732,1.0,1.0
5,mopso,0.8505154639175257,1.0,0.9222339529194995
6,nsgaii,0.865979381443299,1.0,0.9305801316615884
7,nsgaii,0.9072164948453608,0.9617486338797815,0.9514069501680286
8,hmofaarm,0.9432989690721649,1.0,0.9712357947852648
9,mosaarm,0.005154639175257732,1.0,1.0
10,mosaarm,0.9639175257731959,1.0,0.9817930157488368
11,mowsaarm,0.005154639175257732,1.0,1.0
12,mowsaarm,0.22164948453608246,1.0,0.4707966488156882
13,mowsaarm,0.28350515463917525,0.9821428571428572,0.5670404429540967
14,mowsaarm,0.7061855670103093,0.9383561643835617,0.8381439112463196
15,mowsaarm,0.8608247422680413,0.9125683060109291,0.9252965121596147
16,mocatsoarm,0.020618556701030927,1.0,1.0
17,mocatsoarm,0.14948453608247422,1.0,0.38663230087833356
18,mocatsoarm,0.28350515463917525,0.9821428571428572,0.5670404429540967
19,mocatsoarm,0.7319587628865979,0.9793103448275862,0.883882106651086
20,mocatsoarm,0.7525773195876289,0.954248366013072,0.8725324658901162
21,mocatsoarm,0.8041237113402062,0.9285714285714286,0.9021109540154888
22,motlboarm,0.005154639175257732,1.0,1.0
23,motlboarm,0.36597938144329895,1.0,0.604962297538697
24,motlboarm,0.4536082474226804,0.967032967032967,0.6819247154051054
25,motlboarm,0.8247422680412371,0.9580838323353292,0.9054009457618089
26,mofpaarm,0.9639175257731959,1.0,0.9817930157488368
27,moaloarm,0.16494845360824742,1.0,0.4061384660534476
28,moaloarm,0.6082474226804123,0.7023809523809523,0.7639821193844141
29,modaarm,0.005154639175257732,1.0,1.0
30,modaarm,0.9639175257731959,1.0,0.9817930157488368
31,mohsbotsarm,0.020618556701030927,1.0,1.0
32,mohsbotsarm,0.9639175257731959,1.0,0.9817930157488368
33,modearm,0.005154639175257732,1.0,1.0
34,modearm,0.9432989690721649,1.0,0.9712357947852648
35,nshsdearm,0.005154639175257732,1.0,1.0
36,nshsdearm,0.7525773195876289,1.0,0.8675121437695433
37,nshsdearm,0.845360824742268,0.9761904761904762,0.9537463156584326
38,mogeaarm,0.005154639175257732,1.0,1.0
39,mogeaarm,0.5876288659793815,1.0,0.7665695441245899
40,mogeaarm,0.7319587628865979,0.797752808988764,0.883882106651086
41,mogeaarm,0.7422680412371134,0.9290322580645161,0.8550098109598814
42,mogeaarm,0.7835051546391752,0.8128342245989305,0.8815038684298778
43,mogsaarm,0.005154639175257732,1.0,1.0
44,mogsaarm,0.9639175257731959,1.0,0.9817930157488368
45,mossoarm,0.005154639175257732,1.0,1.0
46,mossoarm,0.20103092783505155,1.0,0.6546536707079772
47,mossoarm,0.28865979381443296,1.0,0.5372706895173354
48,mossoarm,0.6958762886597938,0.9507042253521127,0.8284547513212893
49,mossoarm,0.8195876288659794,0.9464285714285714,0.9068113318486303
50,mowoaarm,0.005154639175257732,1.0,1.0
51,mowoaarm,0.9432989690721649,1.0,0.9712357947852648
52,mososarm,0.3556701030927835,1.0,0.5963808372950824
53,mososarm,0.8711340206185567,0.9602272727272727,0.9315572870713699
54,mocssarm,0.005154639175257732,1.0,1.0
55,mocssarm,0.865979381443299,1.0,0.9305801316615884
56,mocssarm,0.8917525773195877,0.9453551912568307,0.9453551912568307
