,score,algorithm
0,14.55,mohsbotsarm
1,10.68,mossoarm
2,8.32,mowsaarm
3,7.39,mogsaarm
4,7.33,motlboarm
5,6.29,modaarm
6,6.04,mogeaarm
7,5.57,mofpaarm
8,4.71,nshsdearm
9,4.54,modearm
10,4.38,nsgaii
11,3.26,mocatsoarm
12,2.95,mocssarm
13,2.88,mowoaarm
14,2.86,moaloarm
15,2.8,mopso
16,2.8,hmofaarm
17,2.79,mosaarm
18,2.58,mocsoarm
19,2.01,mososarm
