,i,algorithm,execution Time
1398,9,mososarm,0.10992717742919922
1399,9,mocssarm,1.9974863529205322
1400,10,mocsoarm,0.4658801555633545
1401,10,mopso,0.09726238250732422
1402,10,nsgaii,0.3814094066619873
1403,10,hmofaarm,0.5527434349060059
1404,10,mosaarm,1.1590557098388672
1405,10,mowsaarm,0.25390100479125977
1406,10,mocatsoarm,0.03687644004821777
1407,10,motlboarm,0.2369518280029297
1408,10,mofpaarm,0.06195950508117676
1409,10,moaloarm,2.9752042293548584
1410,10,modaarm,0.40973424911499023
1411,10,mohsbotsarm,0.41083717346191406
1412,10,modearm,0.04897570610046387
1413,10,nshsdearm,0.41338181495666504
1414,10,mogeaarm,0.0633535385131836
1415,10,mogsaarm,0.5117127895355225
1416,10,mossoarm,0.47703003883361816
1417,10,mowoaarm,0.04397463798522949
1418,10,mososarm,0.10993242263793945
1419,10,mocssarm,9.987171649932861
1420,11,mocsoarm,0.4892466068267822
1421,11,mopso,0.11506795883178711
1422,11,nsgaii,0.38592100143432617
1423,11,hmofaarm,0.5539040565490723
1424,11,mosaarm,1.1441490650177002
1425,11,mowsaarm,0.2591266632080078
1426,11,mocatsoarm,0.0359041690826416
1427,11,motlboarm,0.27922892570495605
1428,11,mofpaarm,0.06920003890991211
1429,11,moaloarm,3.001112461090088
1430,11,modaarm,0.4240419864654541
1431,11,mohsbotsarm,0.4120829105377197
1432,11,modearm,0.05385589599609375
1433,11,nshsdearm,0.41547513008117676
1434,11,mogeaarm,0.07810592651367188
1435,11,mogsaarm,0.5063192844390869
1436,11,mossoarm,0.466064453125
1437,11,mowoaarm,0.07479977607727051
1438,11,mososarm,0.13364267349243164
1439,11,mocssarm,15.090750932693481
1440,12,mocsoarm,0.4759209156036377
1441,12,mopso,0.1242210865020752
1442,12,nsgaii,0.3883204460144043
1443,12,hmofaarm,0.555121898651123
1444,12,mosaarm,1.1559464931488037
1445,12,mowsaarm,0.25498080253601074
1446,12,mocatsoarm,0.030916690826416016
1447,12,motlboarm,0.23699045181274414
1448,12,mofpaarm,0.07178092002868652
1449,12,moaloarm,2.971012592315674
1450,12,modaarm,0.4325549602508545
1451,12,mohsbotsarm,0.4122352600097656
1452,12,modearm,0.0488436222076416
1453,12,nshsdearm,0.4130439758300781
1454,12,mogeaarm,0.06781864166259766
1455,12,mogsaarm,0.5319912433624268
1456,12,mossoarm,0.5291719436645508
1457,12,mowoaarm,0.1255948543548584
1458,12,mososarm,0.10970640182495117
1459,12,mocssarm,10.587209224700928
1460,13,mocsoarm,0.48999571800231934
1461,13,mopso,0.13902878761291504
1462,13,nsgaii,0.38204526901245117
1463,13,hmofaarm,0.5537242889404297
1464,13,mosaarm,1.1577394008636475
1465,13,mowsaarm,0.25427961349487305
1466,13,mocatsoarm,0.03889203071594238
1467,13,motlboarm,0.23902463912963867
1468,13,mofpaarm,0.07094311714172363
1469,13,moaloarm,2.9803659915924072
1470,13,modaarm,0.4390525817871094
1471,13,mohsbotsarm,0.41373729705810547
1472,13,modearm,0.04919266700744629
1473,13,nshsdearm,0.41221022605895996
1474,13,mogeaarm,0.057868003845214844
1475,13,mogsaarm,0.5319054126739502
1476,13,mossoarm,0.5270094871520996
1477,13,mowoaarm,0.13938546180725098
1478,13,mososarm,0.1090397834777832
1479,13,mocssarm,15.172788143157959
1480,14,mocsoarm,0.4869406223297119
1481,14,mopso,0.14699888229370117
1482,14,nsgaii,0.3899979591369629
1483,14,hmofaarm,0.5554032325744629
1484,14,mosaarm,1.153052568435669
1485,14,mowsaarm,0.25679469108581543
1486,14,mocatsoarm,0.036901235580444336
1487,14,motlboarm,0.146895170211792
1488,14,mofpaarm,0.06299614906311035
1489,14,moaloarm,2.990964651107788
1490,14,modaarm,0.5547773838043213
1491,14,mohsbotsarm,0.4121229648590088
1492,14,modearm,0.04831814765930176
1493,14,nshsdearm,0.4145925045013428
1494,14,mogeaarm,0.060837507247924805
1495,14,mogsaarm,0.535365104675293
1496,14,mossoarm,0.49268269538879395
1497,14,mowoaarm,0.1486034393310547
1498,14,mososarm,0.108734130859375
1499,14,mocssarm,15.10040283203125
1500,15,mocsoarm,0.48894381523132324
1501,15,mopso,0.15780067443847656
1502,15,nsgaii,0.38802051544189453
1503,15,hmofaarm,0.5560455322265625
1504,15,mosaarm,1.1522722244262695
1505,15,mowsaarm,0.2538270950317383
1506,15,mocatsoarm,0.037896156311035156
1507,15,motlboarm,0.23694777488708496
1508,15,mofpaarm,0.06233954429626465
1509,15,moaloarm,2.990994453430176
1510,15,modaarm,0.5551469326019287
1511,15,mohsbotsarm,0.4137544631958008
1512,15,modearm,0.04886960983276367
1513,15,nshsdearm,0.4108419418334961
1514,15,mogeaarm,0.059748172760009766
1515,15,mogsaarm,0.5290374755859375
1516,15,mossoarm,0.4072704315185547
1517,15,mowoaarm,0.11705207824707031
1518,15,mososarm,0.10780882835388184
1519,15,mocssarm,10.28303575515747
1520,16,mocsoarm,0.4813966751098633
1521,16,mopso,0.1658029556274414
1522,16,nsgaii,0.37965869903564453
1523,16,hmofaarm,0.5547308921813965
1524,16,mosaarm,1.152026653289795
1525,16,mowsaarm,0.25359320640563965
1526,16,mocatsoarm,0.03595542907714844
1527,16,motlboarm,0.23712706565856934
1528,16,mofpaarm,0.061836957931518555
1529,16,moaloarm,3.0052905082702637
1530,16,modaarm,0.5570559501647949
1531,16,mohsbotsarm,0.41236376762390137
1532,16,modearm,0.04786872863769531
1533,16,nshsdearm,0.4240090847015381
1534,16,mogeaarm,0.06665635108947754
1535,16,mogsaarm,0.5327231884002686
1536,16,mossoarm,0.4809896945953369
1537,16,mowoaarm,0.14622926712036133
1538,16,mososarm,0.10671758651733398
1539,16,mocssarm,8.445865631103516
1540,17,mocsoarm,0.49118900299072266
1541,17,mopso,0.17229199409484863
1542,17,nsgaii,0.3910090923309326
1543,17,hmofaarm,0.5522119998931885
1544,17,mosaarm,1.157898187637329
1545,17,mowsaarm,0.2559664249420166
1546,17,mocatsoarm,0.038268089294433594
1547,17,motlboarm,0.23782777786254883
1548,17,mofpaarm,0.0707857608795166
1549,17,moaloarm,2.9209442138671875
1550,17,modaarm,0.5585763454437256
1551,17,mohsbotsarm,0.4144458770751953
1552,17,modearm,0.04886937141418457
1553,17,nshsdearm,0.4133791923522949
1554,17,mogeaarm,0.06582379341125488
1555,17,mogsaarm,0.5299501419067383
1556,17,mossoarm,0.36226963996887207
1557,17,mowoaarm,0.1505417823791504
1558,17,mososarm,0.10702872276306152
1559,17,mocssarm,15.058561563491821
1560,18,mocsoarm,0.48692893981933594
1561,18,mopso,0.17229533195495605
1562,18,nsgaii,0.38918328285217285
1563,18,hmofaarm,0.5556392669677734
1564,18,mosaarm,1.1542823314666748
1565,18,mowsaarm,0.25380778312683105
1566,18,mocatsoarm,0.03390860557556152
1567,18,motlboarm,0.13639450073242188
1568,18,mofpaarm,0.06283235549926758
1569,18,moaloarm,2.9480435848236084
1570,18,modaarm,0.5542311668395996
1571,18,mohsbotsarm,0.41219139099121094
1572,18,modearm,0.04789876937866211
1573,18,nshsdearm,0.41124868392944336
1574,18,mogeaarm,0.08277726173400879
1575,18,mogsaarm,0.5287997722625732
1576,18,mossoarm,0.35389041900634766
1577,18,mowoaarm,0.16316628456115723
1578,18,mososarm,0.10661649703979492
1579,18,mocssarm,7.395056247711182
1580,19,mocsoarm,0.4808847904205322
1581,19,mopso,0.17718505859375
1582,19,nsgaii,0.3802499771118164
1583,19,hmofaarm,0.5519883632659912
1584,19,mosaarm,1.1555728912353516
1585,19,mowsaarm,0.2553529739379883
1586,19,mocatsoarm,0.032912492752075195
1587,19,motlboarm,0.07878828048706055
1588,19,mofpaarm,0.05296468734741211
1589,19,moaloarm,2.951054096221924
1590,19,modaarm,0.5572381019592285
1591,19,mohsbotsarm,0.4125325679779053
1592,19,modearm,0.04839515686035156
1593,19,nshsdearm,0.4159553050994873
1594,19,mogeaarm,0.0828864574432373
1595,19,mogsaarm,0.5299332141876221
1596,19,mossoarm,0.5085065364837646
1597,19,mowoaarm,0.16037392616271973
1598,19,mososarm,0.10551810264587402
1599,19,mocssarm,15.078173160552979
1600,0,mocsoarm,0.5238094329833984
1601,0,mopso,0.04427838325500488
1602,0,nsgaii,0.3837308883666992
1603,0,hmofaarm,0.6040003299713135
1604,0,mosaarm,1.1619703769683838
1605,0,mowsaarm,0.2553987503051758
1606,0,mocatsoarm,0.04291081428527832
1607,0,motlboarm,0.16701722145080566
1608,0,mofpaarm,0.1468048095703125
1609,0,moaloarm,4.4372172355651855
1610,0,modaarm,0.44789743423461914
1611,0,mohsbotsarm,0.41228461265563965
1612,0,modearm,0.0548551082611084
1613,0,nshsdearm,0.4237337112426758
1614,0,mogeaarm,0.22884559631347656
1615,0,mogsaarm,0.6692891120910645
1616,0,mossoarm,0.5338635444641113
1617,0,mowoaarm,0.03989386558532715
1618,0,mososarm,0.11520004272460938
1619,0,mocssarm,19.595031261444092
1620,1,mocsoarm,0.45529866218566895
1621,1,mopso,0.0520014762878418
1622,1,nsgaii,0.3739900588989258
1623,1,hmofaarm,0.6017260551452637
1624,1,mosaarm,1.1561028957366943
1625,1,mowsaarm,0.2551867961883545
1626,1,mocatsoarm,0.041968584060668945
1627,1,motlboarm,0.16565704345703125
1628,1,mofpaarm,0.06504440307617188
1629,1,moaloarm,4.139714002609253
1630,1,modaarm,0.41307663917541504
1631,1,mohsbotsarm,0.4131779670715332
1632,1,modearm,0.05277705192565918
1633,1,nshsdearm,0.4135260581970215
1634,1,mogeaarm,0.2255420684814453
1635,1,mogsaarm,0.5700292587280273
1636,1,mossoarm,0.5165534019470215
1637,1,mowoaarm,0.06280732154846191
1638,1,mososarm,0.11384344100952148
1639,1,mocssarm,3.4772121906280518
1640,2,mocsoarm,0.4448986053466797
1641,2,mopso,0.03701019287109375
1642,2,nsgaii,0.3898036479949951
1643,2,hmofaarm,3.471851348876953
1644,2,mosaarm,1.1564242839813232
1645,2,mowsaarm,0.25420689582824707
1646,2,mocatsoarm,0.04189181327819824
1647,2,motlboarm,0.1653742790222168
1648,2,mofpaarm,0.06380391120910645
1649,2,moaloarm,3.381568431854248
1650,2,modaarm,0.41196155548095703
1651,2,mohsbotsarm,0.41229820251464844
1652,2,modearm,0.052858829498291016
1653,2,nshsdearm,0.42020559310913086
1654,2,mogeaarm,0.06891632080078125
1655,2,mogsaarm,0.6794390678405762
1656,2,mossoarm,0.4417142868041992
1657,2,mowoaarm,0.048492431640625
1658,2,mososarm,0.11068391799926758
1659,2,mocssarm,31.07768678665161
1660,3,mocsoarm,0.4769470691680908
1661,3,mopso,0.1979367733001709
1662,3,nsgaii,0.3808441162109375
1663,3,hmofaarm,3.4600460529327393
1664,3,mosaarm,1.1528747081756592
1665,3,mowsaarm,0.25307655334472656
1666,3,mocatsoarm,0.040865182876586914
1667,3,motlboarm,0.16286563873291016
1668,3,mofpaarm,0.1812455654144287
1669,3,moaloarm,2.9568464756011963
1670,3,modaarm,0.40900349617004395
1671,3,mohsbotsarm,0.41069865226745605
1672,3,modearm,0.05186104774475098
1673,3,nshsdearm,0.4090299606323242
1674,3,mogeaarm,0.06584978103637695
1675,3,mogsaarm,0.6801817417144775
1676,3,mossoarm,0.35030698776245117
1677,3,mowoaarm,0.046903371810913086
1678,3,mososarm,0.11030006408691406
1679,3,mocssarm,6.841190338134766
1680,4,mocsoarm,0.47632741928100586
1681,4,mopso,0.05183672904968262
1682,4,nsgaii,0.38425660133361816
1683,4,hmofaarm,2.37308931350708
1684,4,mosaarm,1.1527354717254639
1685,4,mowsaarm,0.25510597229003906
1686,4,mocatsoarm,0.039893388748168945
1687,4,motlboarm,0.1625654697418213
1688,4,mofpaarm,0.0633554458618164
1689,4,moaloarm,2.889633893966675
1690,4,modaarm,0.4022700786590576
1691,4,mohsbotsarm,0.41303491592407227
1692,4,modearm,0.05094456672668457
1693,4,nshsdearm,0.4127535820007324
1694,4,mogeaarm,0.05781817436218262
1695,4,mogsaarm,0.5543661117553711
1696,4,mossoarm,0.3548429012298584
1697,4,mowoaarm,0.05391860008239746
1698,4,mososarm,0.11070728302001953
1699,4,mocssarm,14.13243293762207
1700,5,mocsoarm,0.4760422706604004
1701,5,mopso,0.2012617588043213
1702,5,nsgaii,0.3951859474182129
1703,5,hmofaarm,0.5589141845703125
1704,5,mosaarm,1.1781954765319824
1705,5,mowsaarm,0.26073741912841797
1706,5,mocatsoarm,0.03892660140991211
1707,5,motlboarm,0.13364768028259277
1708,5,mofpaarm,0.05454206466674805
1709,5,moaloarm,2.9179370403289795
1710,5,modaarm,0.39707064628601074
1711,5,mohsbotsarm,0.42211341857910156
1712,5,modearm,0.05186271667480469
1713,5,nshsdearm,0.416032075881958
1714,5,mogeaarm,0.06358075141906738
1715,5,mogsaarm,0.6929793357849121
1716,5,mossoarm,0.3646256923675537
1717,5,mowoaarm,0.05245041847229004
1718,5,mososarm,0.11269688606262207
1719,5,mocssarm,11.172004222869873
1720,6,mocsoarm,0.4773538112640381
1721,6,mopso,0.044879913330078125
1722,6,nsgaii,0.3761723041534424
1723,6,hmofaarm,0.5510156154632568
1724,6,mosaarm,1.1588430404663086
1725,6,mowsaarm,0.2559182643890381
1726,6,mocatsoarm,0.03690075874328613
1727,6,motlboarm,0.13135623931884766
1728,6,mofpaarm,0.059822797775268555
1729,6,moaloarm,3.1352059841156006
1730,6,modaarm,0.3998868465423584
1731,6,mohsbotsarm,0.4148986339569092
1732,6,modearm,0.0498652458190918
1733,6,nshsdearm,0.4093446731567383
1734,6,mogeaarm,0.05982184410095215
1735,6,mogsaarm,0.5367023944854736
1736,6,mossoarm,0.3564298152923584
1737,6,mowoaarm,0.0480043888092041
1738,6,mososarm,0.11053085327148438
1739,6,mocssarm,16.50697612762451
1740,7,mocsoarm,0.4850165843963623
1741,7,mopso,0.04590272903442383
1742,7,nsgaii,0.39119696617126465
1743,7,hmofaarm,0.5580804347991943
1744,7,mosaarm,1.1607365608215332
1745,7,mowsaarm,0.25431275367736816
1746,7,mocatsoarm,0.03700828552246094
1747,7,motlboarm,0.13006043434143066
1748,7,mofpaarm,0.048868417739868164
1749,7,moaloarm,3.4111404418945312
1750,7,modaarm,0.4081575870513916
1751,7,mohsbotsarm,0.41373324394226074
