,0,1
0,5.87,mocsoarm
1,5.11,nshsdearm
2,4.44,mocssarm
3,2.41,modearm
4,1.79,mosaarm
5,1.62,mocatsoarm
6,1.39,nsgaii
7,1.0,hmofaarm
8,0.98,mowoaarm
9,0.96,moaloarm
10,0.94,mossoarm
11,0.9,modaarm
12,0.56,mofpaarm
13,0.53,motlboarm
14,0.5,mohsbotsarm
15,0.22,mopso
16,0.14,mososarm
17,0.12,mogsaarm
18,0.08,mogeaarm
19,0.0,mowsaarm
