,0,1
0,2.56,mocsoarm
1,1.83,modaarm
2,1.37,mosaarm
3,1.33,nsgaii
4,1.28,mososarm
5,1.0,hmofaarm
6,0.97,mopso
7,0.94,modearm
8,0.92,mocatsoarm
9,0.91,mowsaarm
10,0.89,mossoarm
11,0.81,mowoaarm
12,0.78,mogeaarm
13,0.76,mofpaarm
14,0.7,moaloarm
15,0.49,mohsbotsarm
16,0.43,mocssarm
17,0.24,nshsdearm
18,0.0,motlboarm
19,0.0,mogsaarm
