,0,1
0,3.77,mocssarm
1,2.9,nshsdearm
2,2.81,hmofaarm
3,1.0,mowoaarm
4,0.97,moaloarm
5,0.88,mocsoarm
6,0.88,modaarm
7,0.69,nsgaii
8,0.56,mofpaarm
9,0.55,modearm
10,0.31,mowsaarm
11,0.31,mocatsoarm
12,0.27,mosaarm
13,0.25,mopso
14,0.25,mossoarm
15,0.21,motlboarm
16,0.15,mogsaarm
17,0.09,mogeaarm
18,0.03,mohsbotsarm
19,0.0,mososarm
