,i,algorithm,execution Time
0,0,mocsoarm,1.160679817199707
1,0,mopso,0.8332922458648682
2,0,nsgaii,1.150679349899292
3,0,hmofaarm,7.49822998046875
4,0,mosaarm,40.241833448410034
5,0,mowsaarm,8.728305339813232
6,0,mocatsoarm,0.9242744445800781
7,0,motlboarm,2.4109537601470947
8,0,mofpaarm,1.608055591583252
9,0,moaloarm,5.05886173248291
10,0,modaarm,1.2461891174316406
11,0,mohsbotsarm,47.486706018447876
12,0,modearm,1.6140005588531494
13,0,nshsdearm,1.247539758682251
14,0,mogeaarm,1.7472987174987793
15,0,mogsaarm,2.12404203414917
16,0,mossoarm,1.1707446575164795
17,0,mowoaarm,0.8119363784790039
18,0,mososarm,3.993389368057251
19,0,mocssarm,5.023139953613281
20,1,mocsoarm,1.17903733253479
21,1,mopso,0.8880605697631836
22,1,nsgaii,1.1490144729614258
23,1,hmofaarm,35.31143665313721
24,1,mosaarm,40.011842250823975
25,1,mowsaarm,8.691233396530151
26,1,mocatsoarm,1.1379930973052979
27,1,motlboarm,2.447239875793457
28,1,mofpaarm,1.6217520236968994
29,1,moaloarm,4.26346755027771
30,1,modaarm,1.251577615737915
31,1,mohsbotsarm,47.164016246795654
32,1,modearm,1.6021721363067627
33,1,nshsdearm,1.2611210346221924
34,1,mogeaarm,1.608370304107666
35,1,mogsaarm,2.1752748489379883
36,1,mossoarm,1.1712119579315186
37,1,mowoaarm,0.8104076385498047
38,1,mososarm,3.9831290245056152
39,1,mocssarm,4.963416814804077
40,2,mocsoarm,1.1708674430847168
41,2,mopso,0.8321421146392822
42,2,nsgaii,1.1473922729492188
43,2,hmofaarm,106.49768137931824
44,2,mosaarm,40.06032943725586
45,2,mowsaarm,8.758735179901123
46,2,mocatsoarm,1.050039529800415
47,2,motlboarm,2.4501237869262695
48,2,mofpaarm,1.6710054874420166
49,2,moaloarm,3.5710926055908203
50,2,modaarm,1.294043779373169
51,2,mohsbotsarm,47.317052364349365
52,2,modearm,1.622293472290039
53,2,nshsdearm,1.2768542766571045
54,2,mogeaarm,1.7141964435577393
55,2,mogsaarm,2.0931475162506104
56,2,mossoarm,1.2104320526123047
57,2,mowoaarm,0.8087737560272217
58,2,mososarm,3.9958043098449707
59,2,mocssarm,4.9991981983184814
60,3,mocsoarm,1.1935665607452393
61,3,mopso,0.8395154476165771
62,3,nsgaii,1.143857479095459
63,3,hmofaarm,118.26303434371948
64,3,mosaarm,40.12491703033447
65,3,mowsaarm,8.691255569458008
66,3,mocatsoarm,0.9613304138183594
67,3,motlboarm,2.490633726119995
68,3,mofpaarm,1.5950875282287598
69,3,moaloarm,3.558910846710205
70,3,modaarm,1.1906473636627197
71,3,mohsbotsarm,46.98890733718872
72,3,modearm,1.5997734069824219
73,3,nshsdearm,1.258864164352417
74,3,mogeaarm,1.6365978717803955
75,3,mogsaarm,2.0978646278381348
76,3,mossoarm,1.2142987251281738
77,3,mowoaarm,0.8102078437805176
78,3,mososarm,3.9796841144561768
79,3,mocssarm,4.89861536026001
80,4,mocsoarm,1.1959333419799805
81,4,mopso,0.8055341243743896
82,4,nsgaii,1.1504027843475342
83,4,hmofaarm,116.83123779296875
84,4,mosaarm,40.045204877853394
85,4,mowsaarm,8.809614181518555
86,4,mocatsoarm,1.0832555294036865
87,4,motlboarm,2.478898048400879
88,4,mofpaarm,1.5951495170593262
89,4,moaloarm,3.6576342582702637
90,4,modaarm,1.2129838466644287
91,4,mohsbotsarm,47.04669451713562
92,4,modearm,1.5950119495391846
93,4,nshsdearm,1.2610385417938232
94,4,mogeaarm,1.6057751178741455
95,4,mogsaarm,2.162092447280884
96,4,mossoarm,1.2185606956481934
97,4,mowoaarm,0.8034560680389404
98,4,mososarm,3.9849045276641846
99,4,mocssarm,3.5137882232666016
100,5,mocsoarm,1.2179505825042725
101,5,mopso,0.8401992321014404
102,5,nsgaii,1.1430761814117432
103,5,hmofaarm,53.852219104766846
104,5,mosaarm,40.19516658782959
105,5,mowsaarm,8.758854150772095
106,5,mocatsoarm,1.0940015316009521
107,5,motlboarm,2.379162073135376
108,5,mofpaarm,1.5928707122802734
109,5,moaloarm,3.8834753036499023
110,5,modaarm,1.1720216274261475
111,5,mohsbotsarm,46.98366069793701
112,5,modearm,1.594066858291626
113,5,nshsdearm,1.261026382446289
114,5,mogeaarm,1.6203317642211914
115,5,mogsaarm,2.1718175411224365
116,5,mossoarm,1.1760103702545166
117,5,mowoaarm,0.8091366291046143
118,5,mososarm,3.9718687534332275
119,5,mocssarm,4.8679258823394775
120,6,mocsoarm,1.2043309211730957
121,6,mopso,0.8218674659729004
122,6,nsgaii,1.1440157890319824
123,6,hmofaarm,90.25933766365051
124,6,mosaarm,40.066837310791016
125,6,mowsaarm,8.694267749786377
126,6,mocatsoarm,1.15083909034729
127,6,motlboarm,2.535107135772705
128,6,mofpaarm,1.7480597496032715
129,6,moaloarm,4.321069002151489
130,6,modaarm,1.1989037990570068
131,6,mohsbotsarm,47.0270516872406
132,6,modearm,1.5910842418670654
133,6,nshsdearm,1.262028455734253
134,6,mogeaarm,1.6108357906341553
135,6,mogsaarm,2.156494379043579
136,6,mossoarm,1.2398850917816162
137,6,mowoaarm,0.8080863952636719
138,6,mososarm,3.986048460006714
