,algorithm,support,confidence,cosine
0,mocsoarm,0.006622516556291391,0.25,0.1336306209562122
1,mopso,0.019867549668874173,0.23076923076923078,0.16984155512168936
2,nsgaii,0.0,0.0,0.0
3,hmofaarm,0.006622516556291391,0.16666666666666666,0.03322277470925477
4,hmofaarm,0.013245033112582781,0.06896551724137931,0.13130643285972254
5,mosaarm,0.013245033112582781,0.6666666666666666,0.09396819714698791
6,mosaarm,0.033112582781456956,0.35714285714285715,0.10874705707258893
7,mowsaarm,0.006622516556291391,1.0,0.08137884587711595
8,mowsaarm,0.033112582781456956,0.033112582781456956,0.16611387354627385
9,mocatsoarm,0.0,0.0,0.0
10,motlboarm,0.006622516556291391,0.013333333333333334,0.03086066999241838
11,mofpaarm,0.006622516556291391,0.19999999999999998,0.11952286093343936
12,mofpaarm,0.059602649006622516,0.059602649006622516,0.059602649006622516
13,moaloarm,0.13245033112582782,1.0,0.3639372626234195
14,modaarm,0.8079470198675497,1.0,0.8988587318747867
15,mohsbotsarm,0.019867549668874173,1.0,0.15309310892394862
16,modearm,0.09271523178807947,1.0,0.30449175980324894
17,nshsdearm,0.013245033112582781,0.09999999999999999,0.10259783520851541
18,mogeaarm,0.0,0.0,0.0
19,mogsaarm,0.0,0.0,0.0
20,mossoarm,0.0,0.0,0.0
21,mowoaarm,0.847682119205298,1.0,0.9206965402374976
22,mososarm,0.019867549668874173,1.0,0.14095229572048187
23,mocssarm,0.006622516556291391,0.041666666666666664,0.0545544725589981
